run_init_utc,variable,lead_hours,reason
2024-03-15T18:00:00Z,*,0-71,modelRunUnavailable
2024-03-16T18:00:00Z,*,0-71,modelRunUnavailable
2024-03-17T18:00:00Z,*,0-71,modelRunUnavailable
2024-03-18T18:00:00Z,*,0-71,modelRunUnavailable
2024-03-19T18:00:00Z,*,0-71,modelRunUnavailable
2024-03-20T18:00:00Z,*,0-71,modelRunUnavailable
2024-03-21T18:00:00Z,*,0-71,modelRunUnavailable
2024-03-22T18:00:00Z,*,0-71,modelRunUnavailable
2024-03-23T18:00:00Z,*,0-71,modelRunUnavailable
2024-03-24T18:00:00Z,*,0-71,modelRunUnavailable
2024-03-25T18:00:00Z,*,0-71,modelRunUnavailable
2024-03-26T18:00:00Z,*,0-71,modelRunUnavailable
2024-03-27T18:00:00Z,*,0-71,modelRunUnavailable
2024-03-28T18:00:00Z,*,0-71,modelRunUnavailable
2024-03-29T18:00:00Z,*,0-71,modelRunUnavailable
2024-03-30T18:00:00Z,*,0-71,modelRunUnavailable
2024-03-31T18:00:00Z,*,0-71,modelRunUnavailable
2024-04-01T18:00:00Z,*,0-71,modelRunUnavailable
2024-04-02T18:00:00Z,*,0-71,modelRunUnavailable
2024-04-03T18:00:00Z,*,0-71,modelRunUnavailable
2024-04-04T18:00:00Z,*,0-71,modelRunUnavailable
2024-04-05T18:00:00Z,*,0-71,modelRunUnavailable
2024-04-06T18:00:00Z,*,0-71,modelRunUnavailable
2024-04-07T18:00:00Z,*,0-71,modelRunUnavailable
2024-04-08T18:00:00Z,*,0-71,modelRunUnavailable
2024-04-09T18:00:00Z,*,0-71,modelRunUnavailable
2024-04-10T18:00:00Z,*,0-71,modelRunUnavailable
2024-04-11T18:00:00Z,*,0-71,modelRunUnavailable
2024-04-12T18:00:00Z,*,0-71,modelRunUnavailable
2024-04-13T18:00:00Z,*,0-71,modelRunUnavailable
2024-04-14T18:00:00Z,*,0-71,modelRunUnavailable
2024-04-15T18:00:00Z,*,0-71,modelRunUnavailable
2024-04-16T18:00:00Z,*,0-71,modelRunUnavailable
2024-04-17T18:00:00Z,*,0-71,modelRunUnavailable
2024-04-18T18:00:00Z,*,0-71,modelRunUnavailable
2024-04-19T18:00:00Z,*,0-71,modelRunUnavailable
2024-04-20T18:00:00Z,*,0-71,modelRunUnavailable
2024-04-21T18:00:00Z,*,0-71,modelRunUnavailable
2024-04-22T18:00:00Z,*,0-71,modelRunUnavailable
2024-04-23T18:00:00Z,*,0-71,modelRunUnavailable
2024-04-24T18:00:00Z,*,0-71,modelRunUnavailable
2024-04-25T18:00:00Z,*,0-71,modelRunUnavailable
2024-04-26T18:00:00Z,*,0-71,modelRunUnavailable
2024-04-27T18:00:00Z,*,0-71,modelRunUnavailable
2024-04-28T18:00:00Z,*,0-71,modelRunUnavailable
2024-04-29T18:00:00Z,*,0-71,modelRunUnavailable
2024-04-30T18:00:00Z,*,0-71,modelRunUnavailable
2024-05-01T18:00:00Z,*,0-71,modelRunUnavailable
2024-05-02T18:00:00Z,*,0-71,modelRunUnavailable
2024-05-03T18:00:00Z,*,0-71,modelRunUnavailable
2024-05-04T18:00:00Z,*,0-71,modelRunUnavailable
2024-05-05T18:00:00Z,*,0-71,modelRunUnavailable
2024-05-06T18:00:00Z,*,0-71,modelRunUnavailable
2024-05-07T18:00:00Z,*,0-71,modelRunUnavailable
2024-05-08T18:00:00Z,*,0-71,modelRunUnavailable
2024-05-09T18:00:00Z,*,0-71,modelRunUnavailable
2024-05-10T18:00:00Z,*,0-71,modelRunUnavailable
2024-05-11T18:00:00Z,*,0-71,modelRunUnavailable
2024-05-12T18:00:00Z,*,0-71,modelRunUnavailable
2024-05-13T18:00:00Z,*,0-71,modelRunUnavailable
2024-05-14T18:00:00Z,*,0-71,modelRunUnavailable
2024-05-15T18:00:00Z,*,0-71,modelRunUnavailable
2024-05-16T18:00:00Z,*,0-71,modelRunUnavailable
2024-05-17T18:00:00Z,*,0-71,modelRunUnavailable
2024-05-18T18:00:00Z,*,0-71,modelRunUnavailable
2024-05-19T18:00:00Z,*,0-71,modelRunUnavailable
2024-05-20T18:00:00Z,*,0-71,modelRunUnavailable
2024-05-21T18:00:00Z,*,0-71,modelRunUnavailable
2024-05-22T18:00:00Z,*,0-71,modelRunUnavailable
2024-05-23T18:00:00Z,*,0-71,modelRunUnavailable
2024-05-24T18:00:00Z,*,0-71,modelRunUnavailable
2024-05-25T18:00:00Z,*,0-71,modelRunUnavailable
2024-05-26T18:00:00Z,*,0-71,modelRunUnavailable
2024-05-27T18:00:00Z,*,0-71,modelRunUnavailable
2024-05-28T18:00:00Z,*,0-71,modelRunUnavailable
2024-05-29T18:00:00Z,*,0-71,modelRunUnavailable
2024-05-30T18:00:00Z,*,0-71,modelRunUnavailable
2024-05-31T18:00:00Z,*,0-71,modelRunUnavailable
2024-06-01T18:00:00Z,*,0-71,modelRunUnavailable
2024-06-02T18:00:00Z,*,0-71,modelRunUnavailable
2024-06-03T18:00:00Z,*,0-71,modelRunUnavailable
2024-06-04T18:00:00Z,*,0-71,modelRunUnavailable
2024-06-05T18:00:00Z,*,0-71,modelRunUnavailable
2024-06-06T18:00:00Z,*,0-71,modelRunUnavailable
